cache_lines,MRC
256,0.01860273
512,0.00315379
768,9.894999999999999E-5
1024,6.91677E-4
1280,2.4371799999999997E-4
1536,4.147199999999997E-5
1792,2.08695E-4
2048,1.5052600000000003E-4
2304,1.1136100000000003E-4
2560,1.14693E-4
2816,8.7599E-5
3072,5.4358E-5
3328,2.8200300000000015E-5
3584,-2.9439999999998824E-7
3840,-1.884339999999999E-5
4096,-1.57331E-5
4352,-2.36209E-5
4608,-2.619097E-5
4864,-7.388020000000002E-6
5120,-8.42668E-6
5376,-9.227980000000002E-6
5632,6.77020000000001E-7
5888,-2.065499999999989E-7
6144,-9.535299999999986E-7
6400,1.0242299999999994E-6
6656,7.695599999999995E-7
6912,5.148999999999995E-7
7168,9.170399999999997E-7
7424,8.720999999999997E-7
