cache_lines,MRC
256,0.0127612
512,0.003238578213745607
768,0.0013555955665528942
1024,6.841276184052416E-4
1280,4.080087304589638E-4
1536,2.8334566841180936E-4
1792,2.20586976890624E-4
2048,1.84732E-4
2304,1.5411104842678254E-4
2560,1.299723720863889E-4
2816,1.0878906908818247E-4
3072,8.279976610732401E-5
3328,5.926647219519905E-5
3584,3.698803918630438E-5
3840,2.24856E-5
4096,1.4486288686623971E-5
4352,8.769326543824661E-6
4608,6.906577374937999E-6
4864,5.956492455836538E-6
5120,5.203686870091475E-6
5376,4.622916342818333E-6
5632,4.0449E-6
5888,3.4558277372985937E-6
6144,2.9578194314567292E-6
6400,2.6064374967410003E-6
6656,2.4366501192359168E-6
6912,2.266869408687188E-6
7168,2.15701130186154E-6
7424,2.12705E-6
7680,2.033057522301111E-6
7936,1.9703749553977786E-6
8192,1.9077133035985195E-6
8448,1.8450516517992594E-6
8704,1.8137208258996296E-6
8960,1.78239E-6
