cache_lines,MRC
256,0.0555544
512,0.05511459999999999
768,0.0548857
1024,0.054553899999999995
1280,0.05442689999999999
1536,0.051824
1792,0.050653399999999994
2048,0.0505364
2304,0.050514399999999994
2560,0.050496599999999996
2816,0.050482400000000004
3072,0.050464699999999994
3328,0.05024309999999999
3584,0.0502342
3840,0.05022379999999999
4096,0.0502148
4352,0.05020879999999999
4608,0.0502015
4864,0.0501951
5120,0.0501917
5376,0.050187699999999995
5632,0.0501825
5888,0.0501777
6144,0.050175000000000004
6400,0.0499799
6656,0.049976299999999994
6912,0.0499741
7168,0.0499703
7424,0.0499649
7680,0.0499595
7936,0.0499563
8192,0.049954599999999995
8448,0.049952500000000004
8704,0.049950699999999994
8960,0.049948299999999994
9216,0.04994629999999999
9472,0.049930499999999996
9728,0.049922
9984,0.04991249999999999
10240,0.049904
10496,0.0499013
10752,0.04989949999999999
11008,0.0498979
11264,0.049896699999999995
11520,0.04989509999999999
11776,0.0498935
12032,0.0498926
12288,0.04989179999999999
12544,0.0498907
12800,0.049889899999999994
13056,0.049888999999999996
13312,0.049887999999999995
13568,0.0498872
13824,0.0498863
14080,0.049885900000000004
14336,0.049885099999999995
14592,0.0498844
14848,0.0498838
15104,0.049883199999999996
15360,0.0498825
15616,0.049881699999999994
15872,0.049881
16128,0.0498804
16384,0.049879799999999995
16640,0.04987919999999999
16896,0.0498789
17152,0.049878299999999993
17408,0.049877700000000004
17664,0.0498771
17920,0.04987679999999999
18176,0.049876399999999994
18432,0.049876
18688,0.0498752
18944,0.0498743
19200,0.049873499999999994
19456,0.04987289999999999
19712,0.0498723
19968,0.049871900000000004
20224,0.0498712
20480,0.04987049999999999
20736,0.04986999999999999
20992,0.049869699999999996
21248,0.049869199999999995
21504,0.0498688
21760,0.04986859999999999
22016,0.04986809999999999
22272,0.0498679
22528,0.04986759999999999
22784,0.04986709999999999
23040,0.049866799999999996
23296,0.0498665
23552,0.049866299999999995
23808,0.049866100000000003
24064,0.0498659
24320,0.0498654
24576,0.0498651
24832,0.0498649
25088,0.0498646
25344,0.049864399999999996
25600,0.049864
25856,0.04986379999999999
26112,0.0498636
26368,0.0498635
26624,0.0498632
26880,0.049863
27136,0.0498627
27392,0.04986229999999999
27648,0.0498622
27904,0.0498621
28160,0.049862
28416,0.0498612
28672,0.0498593
28928,0.0498361
29184,0.049825799999999996
29440,0.0497969
29696,0.049796299999999995
29952,0.049795799999999994
30208,0.0497956
30464,0.0497954
30720,0.0497951
30976,0.049795
31232,0.04979479999999999
31488,0.049794700000000004
31744,0.0497945
32000,0.049794399999999996
32256,0.049794200000000004
32512,0.049794
32768,0.0497937
33024,0.0497935
33280,0.049793399999999995
33536,0.0497932
33792,0.0497931
34048,0.049792899999999994
34304,0.0497927
34560,0.0497926
34816,0.049792399999999994
35072,0.04979229999999999
35328,0.049791999999999996
35584,0.049791800000000004
35840,0.0497916
36096,0.049791300000000004
36352,0.049790999999999995
36608,0.0497908
36864,0.0497906
37120,0.04979039999999999
37376,0.0497901
37632,0.04978989999999999
37888,0.049789599999999996
38144,0.0497893
38400,0.04978899999999999
38656,0.0497888
38912,0.049788599999999995
39168,0.0497883
39424,0.049788099999999995
39680,0.04978799999999999
39936,0.0497878
40192,0.04978749999999999
40448,0.0497872
40704,0.049787099999999994
40960,0.0497869
41216,0.04978659999999999
41472,0.0497864
41728,0.04978609999999999
41984,0.0497859
42240,0.049785699999999995
42496,0.0497855
